Rank,Bowler,Bowling Rating,Tier,Matches,Wickets,Balls,Overs,Runs Conceded,Economy,Average,Strike Rate,Dot Ball %,Boundary %,PP Economy,Middle Economy,Death Economy
50,Vijaykumar Vyshak,38.52,Below Average,7,9.0,144,24.0,253,10.54,28.11,16.0,27.78,22.92,9.5,10.08,12.5
51,C Green,36.72,Below Average,16,6.0,228,38.0,361,9.5,60.17,38.0,34.65,21.93,8.93,8.07,13.25
52,SN Thakur,35.25,Below Average,9,7.0,126,21.0,220,10.48,31.43,18.0,25.4,24.6,12.5,8.95,11.23
53,HH Pandya,35.24,Below Average,11,3.0,150,25.0,228,9.12,76.0,50.0,39.33,24.67,9.76,7.75,0.0
54,SM Curran,33.84,Below Average,14,10.0,287,47.83,489,10.22,48.9,28.7,27.87,24.39,8.68,12.75,10.16
55,Mukesh Kumar,32.17,Below Average,10,7.0,186,31.0,326,10.52,46.57,26.57,33.87,25.81,8.58,11.83,11.69
56,Umran Malik,26.13,Below Average,8,5.0,120,20.0,217,10.85,43.4,24.0,34.17,30.0,28.0,8.93,13.75
57,JO Holder,24.36,Below Average,8,4.0,171,28.5,284,9.96,71.0,42.75,23.39,23.39,9.0,9.45,10.8
58,JC Archer,24.14,Below Average,5,2.0,120,20.0,190,9.5,95.0,60.0,35.83,20.0,8.22,7.83,13.8
59,CJ Jordan,17.23,Below Average,6,3.0,132,22.0,237,10.77,79.0,44.0,31.06,26.52,9.0,11.0,11.7
